,Place,Song Name,Album,Duration in minutes,Image URL
0,1,Supermassive Black Hole,Black Holes and Revelations,3.54,https://i.scdn.co/image/ab67616d0000b27328933b808bfb4cbbd0385400
1,2,Uprising,The Resistance,5.08,https://i.scdn.co/image/ab67616d0000b273b6d4566db0d12894a1a3b7a2
2,3,Starlight,Black Holes and Revelations,4.0,https://i.scdn.co/image/ab67616d0000b27328933b808bfb4cbbd0385400
3,4,Hysteria,Absolution,3.78,https://i.scdn.co/image/ab67616d0000b2733303a842ee1bc0b23204333d
4,5,Time is Running Out,Absolution,3.94,https://i.scdn.co/image/ab67616d0000b2733303a842ee1bc0b23204333d
5,6,Madness,The 2nd Law,4.68,https://i.scdn.co/image/ab67616d0000b273fc192c54d1823a04ffb6c8c9
6,7,Knights of Cydonia,Black Holes and Revelations,6.1,https://i.scdn.co/image/ab67616d0000b27328933b808bfb4cbbd0385400
7,8,Plug in Baby,Origin of Symmetry,3.63,https://i.scdn.co/image/ab67616d0000b2735225e9931a558f6d2f541a7d
8,9,Undisclosed Desires,The Resistance,3.92,https://i.scdn.co/image/ab67616d0000b273b6d4566db0d12894a1a3b7a2
9,10,Feeling Good,Origin of Symmetry,3.31,https://i.scdn.co/image/ab67616d0000b2735225e9931a558f6d2f541a7d
